"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6804","verify_login with valid credentials","webkit","Tue Jul 08 19:13:20 IST 2025","passed","Tue Jul 08 19:13:27 IST 2025","OrangeHRM Login POM","loginok.spec.js","",""
"","5559","use","setup","Tue Jul 08 19:13:12 IST 2025","passed","Tue Jul 08 19:13:17 IST 2025","","login.setup.js","",""
"","8551","verify_login with valid credentials","firefox","Tue Jul 08 19:13:12 IST 2025","passed","Tue Jul 08 19:13:20 IST 2025","OrangeHRM Login POM","loginok.spec.js","",""
